,,,,Pixels X,256,,Pixels Y,256,,Size of window X,35.072,,Size of window Y,35.072,,Null Point,149.063,,,
153,153,153,153,152,153,154,153,154,154,153,153,153,153,153,153,154,153,153,154,…
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,152,154,…
153,153,153,153,153,154,153,153,154,153,154,153,154,154,153,153,153,153,153,153,…
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,…
153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,154,…
153,153,154,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,154,…
153,154,153,154,153,153,153,153,153,153,153,153,152,153,153,153,153,154,154,153,…
153,154,153,153,153,153,153,153,153,153,153,153,153,153,153,153,154,154,154,154,…
153,153,153,153,153,153,153,153,153,153,154,153,153,153,154,153,153,153,153,154,…
…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
